选股日期,股票代码,股票名称,策略,持仓周期,换仓时间,目标资金占比,择时信号,分批进场仓位,选股因子排名,调仓类型,主策略
2025-04-01,sh603506,南都物业,X1-选股精心随机混合#0.小市值_行业高分红,W_2,1015-1015,0.010000000000000002,1,0.2,1.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-01,sh603811,诚意药业,X1-选股精心随机混合#0.小市值_行业高分红,W_2,1015-1015,0.010000000000000002,1,0.2,3.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-01,sh603886,元祖股份,X1-选股精心随机混合#0.小市值_行业高分红,W_2,1015-1015,0.010000000000000002,1,0.2,5.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-01,sh605580,恒盛能源,X1-选股精心随机混合#0.小市值_行业高分红,W_2,1015-1015,0.010000000000000002,1,0.2,4.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-01,sz002972,科安达,X1-选股精心随机混合#0.小市值_行业高分红,W_2,1015-1015,0.010000000000000002,1,0.2,2.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-01,sh600909,华安证券,X1-选股精心随机混合#1.中等生策略,W_2,1015-1015,0.010000000000000002,1,0.2,3.0,计划,X1-选股精心随机混合#1.中等生策略
2025-04-01,sh601108,财通证券,X1-选股精心随机混合#1.中等生策略,W_2,1015-1015,0.010000000000000002,1,0.2,4.0,计划,X1-选股精心随机混合#1.中等生策略
2025-04-01,sh601377,兴业证券,X1-选股精心随机混合#1.中等生策略,W_2,1015-1015,0.010000000000000002,1,0.2,5.0,计划,X1-选股精心随机混合#1.中等生策略
2025-04-01,sh601555,东吴证券,X1-选股精心随机混合#1.中等生策略,W_2,1015-1015,0.010000000000000002,1,0.2,2.0,计划,X1-选股精心随机混合#1.中等生策略
2025-04-01,sz000728,国元证券,X1-选股精心随机混合#1.中等生策略,W_2,1015-1015,0.010000000000000002,1,0.2,1.0,计划,X1-选股精心随机混合#1.中等生策略
2025-04-01,sh601288,农业银行,X1-选股精心随机混合#2.低波大市值,W_2,open,0.010000000000000002,1,0.2,3.0,计划,X1-选股精心随机混合#2.低波大市值
2025-04-01,sh601398,工商银行,X1-选股精心随机混合#2.低波大市值,W_2,open,0.010000000000000002,1,0.2,1.0,计划,X1-选股精心随机混合#2.低波大市值
2025-04-01,sh601816,京沪高铁,X1-选股精心随机混合#2.低波大市值,W_2,open,0.010000000000000002,1,0.2,5.0,计划,X1-选股精心随机混合#2.低波大市值
2025-04-01,sh601939,建设银行,X1-选股精心随机混合#2.低波大市值,W_2,open,0.010000000000000002,1,0.2,4.0,计划,X1-选股精心随机混合#2.低波大市值
2025-04-01,sh601988,中国银行,X1-选股精心随机混合#2.低波大市值,W_2,open,0.010000000000000002,1,0.2,2.0,计划,X1-选股精心随机混合#2.低波大市值
2025-04-02,sh603600,永艺股份,X1-选股精心随机混合#0.小市值_行业高分红,W_3,1015-1015,,0,,5.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-02,sh603811,诚意药业,X1-选股精心随机混合#0.小市值_行业高分红,W_3,1015-1015,,0,,2.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-02,sh605066,天正电气,X1-选股精心随机混合#0.小市值_行业高分红,W_3,1015-1015,,0,,4.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-02,sh605580,恒盛能源,X1-选股精心随机混合#0.小市值_行业高分红,W_3,1015-1015,,0,,3.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-02,sz002972,科安达,X1-选股精心随机混合#0.小市值_行业高分红,W_3,1015-1015,,0,,1.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-02,sh600827,百联股份,X1-选股精心随机混合#1.中等生策略,W_3,1015-1015,0.010000000000000002,1,0.2,5.0,计划,X1-选股精心随机混合#1.中等生策略
2025-04-02,sh600909,华安证券,X1-选股精心随机混合#1.中等生策略,W_3,1015-1015,0.010000000000000002,1,0.2,1.0,计划,X1-选股精心随机混合#1.中等生策略
2025-04-02,sh601108,财通证券,X1-选股精心随机混合#1.中等生策略,W_3,1015-1015,0.010000000000000002,1,0.2,3.0,计划,X1-选股精心随机混合#1.中等生策略
2025-04-02,sh601377,兴业证券,X1-选股精心随机混合#1.中等生策略,W_3,1015-1015,0.010000000000000002,1,0.2,4.0,计划,X1-选股精心随机混合#1.中等生策略
2025-04-02,sz000728,国元证券,X1-选股精心随机混合#1.中等生策略,W_3,1015-1015,0.010000000000000002,1,0.2,2.0,计划,X1-选股精心随机混合#1.中等生策略
2025-04-02,sh601288,农业银行,X1-选股精心随机混合#2.低波大市值,W_3,open,0.010000000000000002,1,0.2,3.0,计划,X1-选股精心随机混合#2.低波大市值
2025-04-02,sh601398,工商银行,X1-选股精心随机混合#2.低波大市值,W_3,open,0.010000000000000002,1,0.2,1.0,计划,X1-选股精心随机混合#2.低波大市值
2025-04-02,sh601816,京沪高铁,X1-选股精心随机混合#2.低波大市值,W_3,open,0.010000000000000002,1,0.2,5.0,计划,X1-选股精心随机混合#2.低波大市值
2025-04-02,sh601939,建设银行,X1-选股精心随机混合#2.低波大市值,W_3,open,0.010000000000000002,1,0.2,4.0,计划,X1-选股精心随机混合#2.低波大市值
2025-04-02,sh601988,中国银行,X1-选股精心随机混合#2.低波大市值,W_3,open,0.010000000000000002,1,0.2,2.0,计划,X1-选股精心随机混合#2.低波大市值
2025-04-03,sh603811,诚意药业,X1-选股精心随机混合#0.小市值_行业高分红,W_0,1015-1015,,0,,2.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-03,sh605066,天正电气,X1-选股精心随机混合#0.小市值_行业高分红,W_0,1015-1015,,0,,4.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
2025-04-03,sh605580,恒盛能源,X1-选股精心随机混合#0.小市值_行业高分红,W_0,1015-1015,,0,,3.0,计划,X1-选股精心随机混合#0.小市值_行业高分红
